単語番号,日,種類,ファイル名,長さ(秒),開始(フレーム),終了(フレーム)
022,02,例文1,051_Kikutan_Chinese_Nyumon.mp3,2.3,2777088,2878976
022,02,例文2,051_Kikutan_Chinese_Nyumon.mp3,2.0,2924032,3011584
023,02,中国語,051_Kikutan_Chinese_Nyumon.mp3,1.2,3069440,3121664
023,02,日本語,051_Kikutan_Chinese_Nyumon.mp3,0.6,3148800,3174400
023,02,例文1,051_Kikutan_Chinese_Nyumon.mp3,2.6,3219456,3335680
024,02,中国語,051_Kikutan_Chinese_Nyumon.mp3,1.0,3388928,3434496
024,02,日本語,051_Kikutan_Chinese_Nyumon.mp3,1.0,3444736,3490816
024,02,例文1,051_Kikutan_Chinese_Nyumon.mp3,2.3,3499520,3598848
025,03,中国語,052_Kikutan_Chinese_Nyumon.mp3,1.3,85504,142848
025,03,日本語,052_Kikutan_Chinese_Nyumon.mp3,1.2,148480,199680
025,03,例文1,052_Kikutan_Chinese_Nyumon.mp3,1.9,219648,303616
026,03,中国語,052_Kikutan_Chinese_Nyumon.mp3,1.1,329728,379904
026,03,日本語,052_Kikutan_Chinese_Nyumon.mp3,0.5,390656,413696
026,03,例文1,052_Kikutan_Chinese_Nyumon.mp3,3.2,439808,579584
027,03,中国語,052_Kikutan_Chinese_Nyumon.mp3,1.4,611840,674304
027,03,日本語,052_Kikutan_Chinese_Nyumon.mp3,1.1,677376,724992
027,03,例文1,052_Kikutan_Chinese_Nyumon.mp3,2.0,737280,825344
028,03,中国語,052_Kikutan_Chinese_Nyumon.mp3,1.1,865792,916480
028,03,日本語,052_Kikutan_Chinese_Nyumon.mp3,0.8,926720,963072
028,03,例文1,052_Kikutan_Chinese_Nyumon.mp3,2.2,979968,1076224
029,03,中国語,052_Kikutan_Chinese_Nyumon.mp3,0.9,1096704,1136640
029,03,日本語,052_Kikutan_Chinese_Nyumon.mp3,0.7,1157120,1187328
029,03,例文1,052_Kikutan_Chinese_Nyumon.mp3,2.2,1211904,1307648
030,03,中国語,052_Kikutan_Chinese_Nyumon.mp3,0.9,1344512,1385472
